#,,,,,,,,,"generated_by='OpenQuake engine 3.10.0-git811058fcf4', start_date='2020-07-22T04:20:22', checksum=2291992654, investigation_time=50.0, ses_per_logic_tree_path=100000"
rup_id,multiplicity,mag,centroid_lon,centroid_lat,centroid_depth,trt,strike,dip,rake
43,7,6.550000E+00,1.257083E+00,-4.712337E-01,1.200000E+01,Active Shallow Crust,3.865914E+01,3.060095E+01,9.000000E+01
44,4,6.550000E+00,1.268319E+00,-4.571887E-01,1.200000E+01,Active Shallow Crust,3.865911E+01,3.060066E+01,9.000000E+01
45,10,6.550000E+00,1.279555E+00,-4.431438E-01,1.200000E+01,Active Shallow Crust,3.865907E+01,3.059938E+01,9.000000E+01
46,2,6.550000E+00,1.290791E+00,-4.290988E-01,1.200000E+01,Active Shallow Crust,3.865900E+01,3.059830E+01,9.000000E+01
47,4,6.550000E+00,1.302027E+00,-4.150537E-01,1.200000E+01,Active Shallow Crust,3.865896E+01,3.059888E+01,9.000000E+01
48,9,6.550000E+00,1.313263E+00,-4.010087E-01,1.200000E+01,Active Shallow Crust,3.865893E+01,3.059925E+01,9.000000E+01
49,12,6.550000E+00,1.324499E+00,-3.869637E-01,1.200000E+01,Active Shallow Crust,3.865888E+01,3.059755E+01,9.000000E+01
50,6,6.550000E+00,1.335735E+00,-3.729186E-01,1.200000E+01,Active Shallow Crust,3.865889E+01,3.059608E+01,9.000000E+01
51,9,6.550000E+00,1.346970E+00,-3.588736E-01,1.200000E+01,Active Shallow Crust,3.865884E+01,3.059602E+01,9.000000E+01
52,7,6.550000E+00,1.358206E+00,-3.448285E-01,1.200000E+01,Active Shallow Crust,3.865879E+01,3.059536E+01,9.000000E+01
53,7,6.550000E+00,1.369442E+00,-3.307834E-01,1.200000E+01,Active Shallow Crust,3.865877E+01,3.059350E+01,9.000000E+01
54,5,6.550000E+00,1.380678E+00,-3.167383E-01,1.200000E+01,Active Shallow Crust,3.865877E+01,3.059266E+01,9.000000E+01
55,9,6.550000E+00,1.391914E+00,-3.026932E-01,1.200000E+01,Active Shallow Crust,3.865876E+01,3.059243E+01,9.000000E+01
56,6,6.550000E+00,1.403149E+00,-2.886481E-01,1.200000E+01,Active Shallow Crust,3.865876E+01,3.059221E+01,9.000000E+01
57,3,6.550000E+00,1.414385E+00,-2.746030E-01,1.200000E+01,Active Shallow Crust,3.865874E+01,3.059360E+01,9.000000E+01
58,9,6.550000E+00,1.425621E+00,-2.605579E-01,1.200000E+01,Active Shallow Crust,3.865874E+01,3.059479E+01,9.000000E+01
59,8,6.550000E+00,1.436857E+00,-2.465128E-01,1.200000E+01,Active Shallow Crust,3.865872E+01,3.059431E+01,9.000000E+01
60,10,6.550000E+00,1.448092E+00,-2.324676E-01,1.200000E+01,Active Shallow Crust,3.865870E+01,3.059405E+01,9.000000E+01
61,6,6.550000E+00,1.459328E+00,-2.184225E-01,1.200000E+01,Active Shallow Crust,3.865872E+01,3.059507E+01,9.000000E+01
62,16,6.550000E+00,1.470564E+00,-2.043773E-01,1.200000E+01,Active Shallow Crust,3.865871E+01,3.059667E+01,9.000000E+01
63,6,6.550000E+00,1.481799E+00,-1.903322E-01,1.200000E+01,Active Shallow Crust,3.865874E+01,3.059688E+01,9.000000E+01
64,12,6.550000E+00,1.493035E+00,-1.762870E-01,1.200000E+01,Active Shallow Crust,3.865875E+01,3.059665E+01,9.000000E+01
65,9,6.550000E+00,1.504271E+00,-1.622419E-01,1.200000E+01,Active Shallow Crust,3.865878E+01,3.059706E+01,9.000000E+01
66,10,6.550000E+00,1.515507E+00,-1.481967E-01,1.200000E+01,Active Shallow Crust,3.575947E+01,3.079167E+01,9.000000E+01
67,5,6.550000E+00,1.526742E+00,-1.341516E-01,1.200000E+01,Active Shallow Crust,3.273379E+01,3.098919E+01,9.000000E+01
68,3,6.550000E+00,1.537978E+00,-1.201064E-01,1.200000E+01,Active Shallow Crust,2.959144E+01,3.118814E+01,9.000000E+01
69,10,6.550000E+00,1.549214E+00,-1.060612E-01,1.200000E+01,Active Shallow Crust,2.634509E+01,3.138964E+01,9.000000E+01
70,9,6.550000E+00,1.560449E+00,-9.201606E-02,1.200000E+01,Active Shallow Crust,2.301180E+01,3.159296E+01,9.000000E+01
71,3,6.550000E+00,1.571685E+00,-7.797089E-02,1.200000E+01,Active Shallow Crust,1.961113E+01,3.179978E+01,9.000000E+01
72,7,6.550000E+00,1.571410E+00,-5.998664E-02,1.200000E+01,Active Shallow Crust,1.616563E+01,3.200866E+01,9.000000E+01
73,3,6.550000E+00,1.571135E+00,-4.200238E-02,1.200000E+01,Active Shallow Crust,1.269959E+01,3.221953E+01,9.000000E+01
74,4,6.550000E+00,1.570860E+00,-2.401813E-02,1.200000E+01,Active Shallow Crust,9.237898E+00,3.243119E+01,9.000000E+01
75,5,6.550000E+00,1.570585E+00,-6.033870E-03,1.200000E+01,Active Shallow Crust,5.805845E+00,3.264613E+01,9.000000E+01
76,7,6.550000E+00,1.570311E+00,1.195038E-02,1.200000E+01,Active Shallow Crust,2.427631E+00,3.286501E+01,9.000000E+01
77,6,6.550000E+00,1.570036E+00,2.993464E-02,1.200000E+01,Active Shallow Crust,3.591244E+02,3.308633E+01,9.000000E+01
78,8,6.550000E+00,1.569761E+00,4.791890E-02,1.200000E+01,Active Shallow Crust,3.591245E+02,3.308631E+01,9.000000E+01
79,3,6.550000E+00,1.569486E+00,6.590315E-02,1.200000E+01,Active Shallow Crust,3.591245E+02,3.308558E+01,9.000000E+01
80,8,6.550000E+00,1.569211E+00,8.388741E-02,1.200000E+01,Active Shallow Crust,3.591246E+02,3.308535E+01,9.000000E+01
81,8,6.550000E+00,1.568937E+00,1.018717E-01,1.200000E+01,Active Shallow Crust,3.591246E+02,3.308387E+01,9.000000E+01
82,6,6.550000E+00,1.248544E+00,-5.062895E-01,1.300000E+01,Active Shallow Crust,3.865916E+01,3.060147E+01,9.000000E+01
83,5,6.550000E+00,1.259780E+00,-4.922446E-01,1.300000E+01,Active Shallow Crust,3.865907E+01,3.060198E+01,9.000000E+01
84,9,6.550000E+00,1.271016E+00,-4.781996E-01,1.300000E+01,Active Shallow Crust,3.865905E+01,3.060213E+01,9.000000E+01
85,9,6.550000E+00,1.282252E+00,-4.641547E-01,1.300000E+01,Active Shallow Crust,3.865903E+01,3.060188E+01,9.000000E+01
86,5,6.550000E+00,1.293488E+00,-4.501097E-01,1.300000E+01,Active Shallow Crust,3.865895E+01,3.060223E+01,9.000000E+01
87,4,6.550000E+00,1.304724E+00,-4.360647E-01,1.300000E+01,Active Shallow Crust,3.865891E+01,3.060299E+01,9.000000E+01
88,8,6.550000E+00,1.315960E+00,-4.220197E-01,1.300000E+01,Active Shallow Crust,3.865887E+01,3.060255E+01,9.000000E+01
89,9,6.550000E+00,1.327196E+00,-4.079747E-01,1.300000E+01,Active Shallow Crust,3.865882E+01,3.060206E+01,9.000000E+01
90,7,6.550000E+00,1.338431E+00,-3.939297E-01,1.300000E+01,Active Shallow Crust,3.865881E+01,3.060242E+01,9.000000E+01
91,10,6.550000E+00,1.349667E+00,-3.798846E-01,1.300000E+01,Active Shallow Crust,3.865882E+01,3.060242E+01,9.000000E+01
92,10,6.550000E+00,1.360903E+00,-3.658396E-01,1.300000E+01,Active Shallow Crust,3.865875E+01,3.060277E+01,9.000000E+01
93,8,6.550000E+00,1.372139E+00,-3.517945E-01,1.300000E+01,Active Shallow Crust,3.865874E+01,3.060373E+01,9.000000E+01
94,7,6.550000E+00,1.383375E+00,-3.377495E-01,1.300000E+01,Active Shallow Crust,3.865871E+01,3.060450E+01,9.000000E+01
95,5,6.550000E+00,1.394610E+00,-3.237044E-01,1.300000E+01,Active Shallow Crust,3.865873E+01,3.060448E+01,9.000000E+01
96,8,6.550000E+00,1.405846E+00,-3.096593E-01,1.300000E+01,Active Shallow Crust,3.865871E+01,3.060482E+01,9.000000E+01
97,9,6.550000E+00,1.417082E+00,-2.956142E-01,1.300000E+01,Active Shallow Crust,3.865871E+01,3.060457E+01,9.000000E+01
98,14,6.550000E+00,1.428317E+00,-2.815691E-01,1.300000E+01,Active Shallow Crust,3.865870E+01,3.060414E+01,9.000000E+01
99,8,6.550000E+00,1.439553E+00,-2.675240E-01,1.300000E+01,Active Shallow Crust,3.865871E+01,3.060368E+01,9.000000E+01
100,3,6.550000E+00,1.450789E+00,-2.534789E-01,1.300000E+01,Active Shallow Crust,3.865871E+01,3.060406E+01,9.000000E+01
101,9,6.550000E+00,1.462025E+00,-2.394338E-01,1.300000E+01,Active Shallow Crust,3.865869E+01,3.060526E+01,9.000000E+01
102,7,6.550000E+00,1.473260E+00,-2.253886E-01,1.300000E+01,Active Shallow Crust,3.865868E+01,3.060443E+01,9.000000E+01
103,5,6.550000E+00,1.484496E+00,-2.113435E-01,1.300000E+01,Active Shallow Crust,3.865867E+01,3.060337E+01,9.000000E+01
104,7,6.550000E+00,1.495732E+00,-1.972983E-01,1.300000E+01,Active Shallow Crust,3.865871E+01,3.060275E+01,9.000000E+01
105,4,6.550000E+00,1.506967E+00,-1.832532E-01,1.300000E+01,Active Shallow Crust,3.865872E+01,3.060236E+01,9.000000E+01
106,7,6.550000E+00,1.518203E+00,-1.692080E-01,1.300000E+01,Active Shallow Crust,3.865872E+01,3.060234E+01,9.000000E+01
